temperature,weekend,lemonade_price,blocks_from_park,profitable
90,1,1,1,1
85,1,1.25,2,1
78,0,1.5,3,0
95,1,0.75,1,1
82,0,1.25,4,0
88,1,1,2,1
92,1,0.5,1,1
75,0,1.75,5,0
91,1,1,2,1
79,0,1.5,3,0
85,0,1,2,1
96,1,0.75,1,1
94,1,1,1,1
89,1,1.25,2,1
77,0,1.5,3,0
81,0,1.75,4,0
93,1,0.75,2,1
76,0,1.5,3,0
87,1,1,2,1
90,1,0.5,1,1
95,1,0.75,1,1
78,0,1.5,4,0
88,1,1,2,1
83,0,1.25,3,0
91,1,0.75,2,1
80,0,1.5,3,0
92,1,0.5,1,1
89,1,1,2,1
79,0,1.75,4,0
97,1,0.75,1,1
94,1,1,1,1
90,1,1.25,2,1
77,0,1.5,3,0
82,0,1.75,4,0
93,1,0.75,2,1
76,0,1.5,3,0
87,1,1,2,1
90,1,0.5,1,1
95,1,0.75,1,1
78,0,1.5,4,0
88,1,1,2,1
83,0,1.25,3,0
91,1,0.75,2,1
80,0,1.5,3,0
92,1,0.5,1,1
89,1,1,2,1
79,0,1.75,4,0
97,1,0.75,1,1
